epoch,step,train_loss,val_loss
0,11,0.006808803416788578,
1,23,0.0026325408834964037,
2,35,0.001380034489557147,
3,47,0.0012227827683091164,
4,59,0.0011656361166387796,
5,71,0.0012715657940134406,
6,83,0.001141514047048986,
7,95,0.001276845228858292,
8,107,0.0012403234140947461,
9,119,,0.001157734775915742
9,119,0.001197603065520525,
10,131,0.0011468965094536543,
11,143,0.0011381622171029449,
12,155,0.0012212723959237337,
13,167,0.0005250044632703066,
14,179,0.00034240103559568524,
15,191,0.00034160545328631997,
16,203,0.00013272308569867164,
17,215,0.00014847669808659703,
18,227,0.00011728209938155487,
19,239,,0.00011608184286160395
19,239,0.00014232561807148159,
20,251,0.0001984114060178399,
21,263,0.00025672410265542567,
22,275,0.00015419347619172186,
23,287,0.0002340940263820812,
24,299,0.00025244842981919646,
25,311,0.00011298650497337803,
26,323,0.00023513910127803683,
27,335,9.255293844034895e-05,
28,347,0.00031819476862438023,
29,359,,7.817226287443191e-05
29,359,0.00010401289182482287,
30,371,9.131075057666749e-05,
31,383,0.000196349952602759,
32,395,0.00016790734662208706,
33,407,9.60884426604025e-05,
34,419,0.00011808242561528459,
35,431,0.0002160527801606804,
36,443,0.00024023103469517082,
37,455,6.068383663659915e-05,
38,467,7.231051858980209e-05,
39,479,,7.793691474944353e-05
39,479,9.17519282666035e-05,
40,491,7.706944597885013e-05,
41,503,6.580067565664649e-05,
42,515,7.413177809212357e-05,
43,527,0.00025368185015395284,
44,539,0.00016827114450279623,
45,551,0.0001990411983570084,
46,563,7.501224899897352e-05,
47,575,8.119904669001698e-05,
48,587,0.00018463177548255771,
49,599,,7.381118484772742e-05
49,599,9.313886403106153e-05,
50,611,0.00022022414486855268,
51,623,0.0001312231324845925,
52,635,0.00021222661598585546,
53,647,8.091522613540292e-05,
54,659,0.00021343746630009264,
55,671,7.690236088819802e-05,
56,683,0.00011088442988693714,
57,695,7.740074943285435e-05,
58,707,0.00012530443200375885,
59,719,,7.043041114229709e-05
59,719,6.863860471639782e-05,
60,731,0.00016889936523512006,
61,743,0.0002262595808133483,
62,755,9.523312473902479e-05,
63,767,0.0002214920095866546,
64,779,0.00023528838937636465,
65,791,6.871601362945512e-05,
66,803,6.298265361692756e-05,
67,815,6.486004713224247e-05,
68,827,0.00021478338749147952,
69,839,,6.424276944017038e-05
69,839,8.16040628706105e-05,
70,851,7.698142871959135e-05,
71,863,5.2520856115734205e-05,
72,875,6.910898810019717e-05,
73,887,7.985576667124406e-05,
74,899,0.00020703679183498025,
75,911,0.0001834657450672239,
76,923,0.00025854597333818674,
77,935,6.988677341723815e-05,
78,947,6.204894452821463e-05,
79,959,,6.482021854026243e-05
79,959,6.228015263332054e-05,
80,971,7.221574924187735e-05,
81,983,0.00025278294924646616,
82,995,7.986505806911737e-05,
83,1007,0.00010959771316265687,
84,1019,5.38879212399479e-05,
85,1031,8.379664359381422e-05,
86,1043,8.609488577349111e-05,
87,1055,6.05347850068938e-05,
88,1067,4.859166801907122e-05,
89,1079,,5.897862502024509e-05
89,1079,0.00032336695585399866,
90,1091,0.00019991175213363022,
91,1103,9.604846127331257e-05,
92,1115,4.2581574234645814e-05,
93,1127,0.00012751203030347824,
94,1139,0.0001787118671927601,
95,1151,0.00015320612874347717,
96,1163,0.00033403822453692555,
97,1175,0.0001120959859690629,
98,1187,5.773231532657519e-05,
99,1199,,6.496142304968089e-05
99,1199,9.36368087423034e-05,
100,1211,8.366175461560488e-05,
101,1223,0.00021619966719299555,
102,1235,5.076243178336881e-05,
103,1247,0.0001467669935664162,
104,1259,9.291560127167031e-05,
105,1271,0.00010895108425756916,
106,1283,8.762324432609603e-05,
107,1295,8.143212471622974e-05,
108,1307,0.0003055155975744128,
109,1319,,7.312463276321068e-05
109,1319,0.00024681020295247436,
110,1331,9.035524999490008e-05,
111,1343,0.00016836922441143543,
112,1355,9.09803420654498e-05,
113,1367,0.00014140325947664678,
114,1379,7.183935667853802e-05,
115,1391,5.896485163248144e-05,
116,1403,5.473245255416259e-05,
117,1415,0.00014001061208546162,
118,1427,0.00019513172446750104,
119,1439,,6.641091749770567e-05
119,1439,0.0002447954029776156,
120,1451,0.00022578504285775125,
121,1463,0.00010306436161044985,
122,1475,0.0002069019537884742,
123,1487,0.00017300588660873473,
124,1499,0.00017941628175321966,
125,1511,0.00012421622523106635,
126,1523,0.00013505241076927632,
127,1535,0.00010404066415503621,
128,1547,0.00021178497991058975,
129,1559,,6.187380495248362e-05
129,1559,0.00021552402176894248,
130,1571,7.004943472566083e-05,
131,1583,7.652866042917594e-05,
132,1595,0.00021746158017776906,
133,1607,0.00015167593664955348,
134,1619,8.590640936745331e-05,
