epoch,step,train_loss,val_loss
0,1,0.017623357474803925,
1,3,0.0028752486687153578,
2,5,0.007133264560252428,
3,7,0.0033090917859226465,
4,9,0.002477903151884675,
5,11,0.002799253910779953,
6,13,0.00228145276196301,
7,15,0.002677882555872202,
8,17,0.002023987239226699,
9,19,,0.0009923690231516957
9,19,0.002041889587417245,
10,21,0.0017153526423498988,
11,23,0.002319575287401676,
12,25,0.0020670273806899786,
13,27,0.001927666598930955,
14,29,0.0016403187764808536,
15,31,0.001509821624495089,
16,33,0.0020417573396116495,
17,35,0.0017449453007429838,
18,37,0.0015196331078186631,
19,39,,0.0009428058401681483
19,39,0.0013733917148783803,
20,41,0.0013434693682938814,
21,43,0.0012354078935459256,
22,45,0.0009792912751436234,
23,47,0.0009328488958999515,
24,49,0.0010320252040401101,
25,51,0.0008171910885721445,
26,53,0.000850425916723907,
27,55,0.00079343281686306,
28,57,0.0005186009802855551,
29,59,,0.00038367739762179554
29,59,0.0004610537725966424,
30,61,0.0004939593491144478,
31,63,0.0004858400789089501,
32,65,0.00048453372437506914,
33,67,0.0004378114244900644,
34,69,0.00043328056926839054,
35,71,0.00043542622006498277,
36,73,0.0003592617285903543,
37,75,0.00038253964157775044,
38,77,0.0005461128894239664,
39,79,,0.00030393979977816343
39,79,0.00031008178484626114,
40,81,0.0003862733137793839,
41,83,0.00037650379817932844,
42,85,0.0003983320784755051,
43,87,0.0005105818854644895,
44,89,0.0002659040910657495,
45,91,0.0005471128970384598,
46,93,0.00042863667476922274,
47,95,0.00039169855881482363,
48,97,0.0003362943243701011,
49,99,,0.00027528259670361876
49,99,0.0004963503452017903,
50,101,0.00043560174526646733,
51,103,0.00033244764199480414,
52,105,0.00035276779090054333,
53,107,0.0003682865935843438,
54,109,0.00029299966990947723,
55,111,0.00033073450322262943,
56,113,0.0003192080184817314,
57,115,0.0004013378347735852,
58,117,0.00036192231345921755,
59,119,,0.00024314926122315228
59,119,0.00023352791322395205,
60,121,0.0002936212404165417,
61,123,0.0004163231933489442,
62,125,0.0002808299323078245,
63,127,0.00035053741885349154,
64,129,0.00030651563429273665,
65,131,0.00024344612029381096,
66,133,0.00023098084784578532,
67,135,0.000357748445821926,
68,137,0.00023410431458614767,
69,139,,0.00021025317255407572
69,139,0.0004115970805287361,
70,141,0.00034820850123651326,
71,143,0.0002817111380863935,
72,145,0.00035048022982664406,
73,147,0.0003334034117870033,
74,149,0.00022408993390854448,
75,151,0.00026476141647435725,
76,153,0.0002645206404849887,
77,155,0.00038489108555950224,
78,157,0.0002681103942450136,
79,159,,0.0001860724005382508
79,159,0.00033598579466342926,
80,161,0.00023111558402888477,
81,163,0.0002970061032101512,
82,165,0.00022450443066190928,
83,167,0.00033369852462783456,
84,169,0.00024182187917176634,
85,171,0.0002242863120045513,
86,173,0.00017892774485517293,
87,175,0.00019008231174666435,
88,177,0.00029077939689159393,
89,179,,0.00017760648916009814
89,179,0.0002722837380133569,
90,181,0.00019654535572044551,
91,183,0.00020869421132374555,
92,185,0.0001954337058123201,
93,187,0.00021778448717668653,
94,189,0.00013926258543506265,
95,191,0.0002288167306687683,
96,193,0.0001586338912602514,
97,195,0.0002688603417482227,
98,197,0.00018763457774184644,
99,199,,0.00016488433175254613
99,199,0.00025577645283192396,
100,201,0.00026226910995319486,
101,203,0.0003008978965226561,
102,205,0.00012556882575154305,
103,207,0.00018805208674166352,
104,209,0.00012889475328847766,
105,211,0.00017235275299753994,
106,213,0.0002542940201237798,
107,215,0.0001834437862271443,
108,217,0.00026198700652457774,
109,219,,0.00018508311768528074
109,219,0.00023302134650293738,
110,221,7.689744961680844e-05,
111,223,0.00020760980260092765,
112,225,0.0001807696680771187,
113,227,0.00022570884902961552,
114,229,0.00013932125875726342,
115,231,0.00019869711832143366,
116,233,0.00020665394549723715,
117,235,0.000207175689865835,
118,237,0.0002855852653738111,
119,239,,0.00013867054076399654
119,239,0.00011800554057117552,
120,241,0.00019169597362633795,
121,243,0.0001352255785604939,
122,245,0.00027928134659305215,
123,247,0.00029164087027311325,
124,249,0.0001424288930138573,
125,251,0.00021675291645806283,
126,253,0.00014597908011637628,
127,255,0.00015635453746654093,
128,257,0.00010613501217449084,
129,259,,0.0001309888029936701
129,259,0.0001419603795511648,
130,261,0.00014851258310955018,
131,263,0.00022677864762954414,
132,265,0.00025459067546762526,
133,267,0.00014785556413698941,
134,269,0.00030942342709749937,
135,271,0.00017990094784181565,
136,273,0.00016280304407700896,
137,275,0.0002929789770860225,
138,277,0.00022212629846762866,
139,279,,0.0001230270863743499
139,279,0.00022471084957942367,
140,281,0.000138800052809529,
141,283,0.00025868607917800546,
142,285,0.00014419328363146633,
143,287,0.0002339994243811816,
144,289,9.42916885833256e-05,
145,291,0.00013630320609081537,
146,293,0.0002855532511603087,
147,295,8.672299009049311e-05,
148,297,0.0001646225427975878,
149,299,,0.00011502915731398389
149,299,0.00028726726304739714,
150,301,6.972180563025177e-05,
151,303,0.00011009302397724241,
152,305,0.00013272995420265943,
153,307,0.00018095836276188493,
154,309,0.00022139196516945958,
155,311,0.00017872055468615144,
156,313,0.00012211286230012774,
157,315,0.0002109173365170136,
158,317,0.00019799891742877662,
159,319,,0.00012600152695085853
159,319,0.0001932253217091784,
160,321,0.0002521964197512716,
161,323,0.00014835179899819195,
162,325,0.0001318479044130072,
163,327,0.00014660184388048947,
164,329,0.00019865379726979882,
165,331,0.0002968674816656858,
166,333,0.00018580936011858284,
167,335,0.0001971525780390948,
168,337,0.0001426685048500076,
169,339,,0.00010818651207955554
169,339,0.00018126760551240295,
170,341,0.00013854856661055237,
171,343,0.00012830890773329884,
172,345,6.0308237152639776e-05,
173,347,0.00019102809892501682,
174,349,0.000298728613415733,
175,351,0.00022558073396794498,
176,353,0.0002913576317951083,
177,355,0.00015650536806788296,
178,357,8.16368919913657e-05,
179,359,,0.00011344835365889594
179,359,0.0001434467703802511,
180,361,0.00015164181240834296,
181,363,7.536267366958782e-05,
182,365,8.447333675576374e-05,
183,367,0.00013155721535440534,
184,369,0.0001444615045329556,
185,371,0.0002745258389040828,
186,373,0.00012237401097081602,
187,375,0.0001643467549001798,
188,377,0.0001538276846986264,
189,379,,0.00010930115240626037
189,379,9.962335752788931e-05,
190,381,0.00011532738426467404,
191,383,0.00024337336071766913,
192,385,0.0001211059934576042,
193,387,0.00012427546607796103,
